tweet_id,user_id,created_at,tweet,username,name,location,language,tweet_type,replied_to_id,get_repliedTo_tweet_link,get_tweet_link
1510617170182819840,106826674,2022-04-03T13:56:13.000Z,"My suggestion to anyone who reads this tweet, Have been with @airtelindia since 2012, 10 years to be exact. Their services have gone down the drain. Pls opt 4 @reliancejio @JioCare or @ACTFibernet.

Avoid @airtelindia @Airtel_Presence  like plague. #AirtelSucks #AirtelAirHeads",rajkoona,Shailesh Raj Koona,"Hyderabad, India",en,replied_to,1510617168286982145,https://twitter.com/i/web/status/1510617168286982145,https://twitter.com/106826674/status/1510617170182819840
1510617102138286089,607515648,2022-04-03T13:55:57.000Z,"Please listen customer care response  support seller not customer. How will you to customers training on Flipkart. Why should mention return policy in th product @Flipkart
https://t.co/V9yvq2euMU  @flipkartsupport @_Kalyan_K @amazonIN  @JioCare @Meesho_Official  @GoogleIndia https://t.co/zONnCSlNjs",itMahesh90,Mahesh90,Ongole,en,Original_tweet,Null,null,https://twitter.com/607515648/status/1510617102138286089
1510617029421592579,2891048298,2022-04-03T13:55:40.000Z,@JioCare Address of jio car is nagpada kedy shoppping centre,MadhiyaMohammed,BloodShot,,en,replied_to,1510224502747447299,https://twitter.com/i/web/status/1510224502747447299,https://twitter.com/2891048298/status/1510617029421592579
1510616499450695687,178291059,2022-04-03T13:53:34.000Z,@JioCare Have inboxed the details Rahul. Thanks,azadankit54,ANKIT AZAD,,en,replied_to,1510605007577821189,https://twitter.com/i/web/status/1510605007577821189,https://twitter.com/178291059/status/1510616499450695687
1510616279673016328,2942153684,2022-04-03T13:52:41.000Z,"@JioCare @TRAI 
I am tired of complaining that I am not able to use internet on my no with proper or sufficient seep not even 100kbps, and I am getting answer that in my location multiple users are watching, video and using Internet, You jio telecom operators are fooling us",hdhavaldave44,Dhaval Dave,"मुंबई, भारत",en,Original_tweet,Null,null,https://twitter.com/2942153684/status/1510616279673016328
1510615810783387655,1175078178,2022-04-03T13:50:49.000Z,"Hey @jiofiber @reliancejio @JioCare unsatified by your service i called jiofiber for installment on 29th march but till now there's no one for this, everytime i call customer service they just reschedule my installation date + custmer care cuts my call middle of conversation 🙄",golu564,shailesh tripathi,raipur india,en,Original_tweet,Null,null,https://twitter.com/1175078178/status/1510615810783387655
1510615358205403137,76008738,2022-04-03T13:49:01.000Z,@JioCare Don’t worry… I’m cancelling Jio. #patheticservice #pathetic #CustomerService,ritzwitz,RitzWitz,,en,replied_to,1508724256653594625,https://twitter.com/i/web/status/1508724256653594625,https://twitter.com/76008738/status/1510615358205403137
1510615062347599872,1015601646456279042,2022-04-03T13:47:51.000Z,Deta network and internet speed slow why plz help Me @JioCare @reliancejio,KundanSharma999,KUNDAN SHARMA 🇮🇳,Jaunpur Utter Pradesh India ,en,Original_tweet,Null,null,https://twitter.com/1015601646456279042/status/1510615062347599872
1510614957674557442,76008738,2022-04-03T13:47:26.000Z,@JioCare @reliancejio @JioFiberChennai finally raised a cancellation request for my #RelianceJioFiber connection- reason being my request kept getting closed without being addressed #Jiosucks #patheticservice,ritzwitz,RitzWitz,,en,Original_tweet,Null,null,https://twitter.com/76008738/status/1510614957674557442
1510614675272056842,1025330050323771392,2022-04-03T13:46:19.000Z,"I am even unable to contact the customer care number..kindly do the needful ASAP 
@reliancejio @JioCare https://t.co/9WtUSacpQd",_pranjal_das_,Pranjal Das,India,en,quoted,1510612837076385798,https://twitter.com/i/web/status/1510612837076385798,https://twitter.com/1025330050323771392/status/1510614675272056842
