tweet_id,user_id,created_at,tweet,username,name,location,language,tweet_type,replied_to_id,get_repliedTo_tweet_link,get_tweet_link
1513061224258318340,763214339771867137,2022-04-10T07:48:01.000Z,@JioCare 9214488207,BundelaYogi,"योगी बुन्देला (गुस्ताख़),Yogi Bundela,یوگی بنڈیلہ","अलवर, भारत",und,replied_to,1513057794357825543,https://twitter.com/i/web/status/1513057794357825543,https://twitter.com/763214339771867137/status/1513061224258318340
1513061110978543616,1080370975,2022-04-10T07:47:34.000Z,"@JioCare @jiocare There's no phone, chat or email customer support of jio. It's just this Twitter handle. And in this also you people take such a long time to respond. Why on earth is that?",radaviah,radhika,"Bengaluru, India",en,replied_to,1513058418281820164,https://twitter.com/i/web/status/1513058418281820164,https://twitter.com/1080370975/status/1513061110978543616
1513060912046825482,789392592328765440,2022-04-10T07:46:47.000Z,@JioCare @TRAI @jagograhakjago Whereas this plan offers 150 GB https://t.co/SfXPmk2T3X,namesaqe,namesake,,en,replied_to,1513060746023690252,https://twitter.com/i/web/status/1513060746023690252,https://twitter.com/789392592328765440/status/1513060912046825482
1513060873161494528,573540305,2022-04-10T07:46:38.000Z,@SreedeepDas1 @JioCare Having issue with my jio fibre,rahulhtd,Rahul Patel,Bemetara,en,replied_to,1513028908345532417,https://twitter.com/i/web/status/1513028908345532417,https://twitter.com/573540305/status/1513060873161494528
1513060746023690252,789392592328765440,2022-04-10T07:46:07.000Z,"@JioCare Again a non informed error by JIO, thats it I want to move to consumer court @TRAI  please put a hefty fine on jio for malpractice, 420 they are playing with the customer base. I am seriously fed up now @jagograhakjago  see how they have given me 62 GB of data only. https://t.co/ljqJNJE0cm",namesaqe,namesake,,en,replied_to,1512702848978780162,https://twitter.com/i/web/status/1512702848978780162,https://twitter.com/789392592328765440/status/1513060746023690252
1513060723441614849,1231127001315999745,2022-04-10T07:46:02.000Z,"@JioCare I'm interested in Jio postpaid plan, but would like to understand the bill break-up for additional services like OTT app, etc. and whether that's optional?",gurgaon_citizen,citizen_gurgaon,,en,Original_tweet,Null,null,https://twitter.com/1231127001315999745/status/1513060723441614849
1513060667640938503,1287702942624014336,2022-04-10T07:45:49.000Z,@Yugesh_Dhiwar @JioCare https://t.co/dcYPMAfbFC,sonu_bjp07,𝐃𝐨𝐦𝐞𝐧𝐝𝐫𝐚 𝐊𝐮𝐦𝐚𝐫 𝐒𝐚𝐡𝐮 🇮🇳,"Raipur, India",und,replied_to,1513046705935056901,https://twitter.com/i/web/status/1513046705935056901,https://twitter.com/1287702942624014336/status/1513060667640938503
1513060547758985216,1281541766336794625,2022-04-10T07:45:20.000Z,@JioCare It needs to be resolved today only please I am working today. 😓,Timbak2wo,सत्यशोधक 🇮🇳,भारत,en,replied_to,1513059666477035521,https://twitter.com/i/web/status/1513059666477035521,https://twitter.com/1281541766336794625/status/1513060547758985216
1513060323837632513,1361241226750484485,2022-04-10T07:44:27.000Z,@JioCare  - it has been more than 100 hours now the issue is still unresolved. Not a single visit by the engineer to resolve it,JigarVo48419846,Jigar Vora,mumbai ,en,replied_to,1512358733740797961,https://twitter.com/i/web/status/1512358733740797961,https://twitter.com/1361241226750484485/status/1513060323837632513
1513059784517627904,295505483,2022-04-10T07:42:18.000Z,"@JioCare Day 13 no service. Refund my money.
 @reliancejio
#count",upendraunde,Upendra Unde,"Talegaon Dabhade, Bharat ",en,Original_tweet,Null,null,https://twitter.com/295505483/status/1513059784517627904
